Agency,Business Title,Civil Service Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location
DEPARTMENT OF BUSINESS SERV.,Account Manager,CONTRACT REVIEWER (OFFICE OF L,,,42405,65485,Annual,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,"EXECUTIVE DIRECTOR, BUSINESS DEVELOPMENT",ADMINISTRATIVE BUSINESS PROMOT,,F,60740,162014,Annual,110 William St. N Y
NYC HOUSING AUTHORITY,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,Maintenance & Operations,F,51907.68,54580.32,Annual,Heating Mgt-Operations
NYC HOUSING AUTHORITY,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,Maintenance & Operations,F,51907.68,54580.32,Annual,Heating Mgt-Operations
NYC HOUSING AUTHORITY,Temporary Painter,PAINTER,Maintenance & Operations,F,35,35,Hourly,DMP-Contract & Analysis Unit
NYC HOUSING AUTHORITY,Temporary Painter,PAINTER,Maintenance & Operations,F,35,35,Hourly,DMP-Contract & Analysis Unit
DEPT OF HEALTH/MENTAL HYGIENE,Contract Analyst,PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,50598,85053,Annual,42-09 28th Street
DEPT OF ENVIRONMENT PROTECTION,Associate Chemist,ASSOCIATE CHEMIST,"Health Public Safety, Inspections, & Enforcement",F,50623,75083,Annual,96-05 Horace Harding Expway
NYC HOUSING AUTHORITY,Cost Estimating Manager,ADMINISTRATIVE STAFF ANALYST (,"Engineering, Architecture, & Planning",F,90000,110000,Annual,CP Cap Plan-Technical Planning
NYC HOUSING AUTHORITY,PLUMBER'S HELPER,PLUMBER'S HELPER,Legal Maintenance & Operations,F,61387.2,61387.2,Annual,Brooklyn Floating Staff
NYC HOUSING AUTHORITY,PLUMBER'S HELPER,PLUMBER'S HELPER,Legal Maintenance & Operations,F,61387.2,61387.2,Annual,Brooklyn Floating Staff
NYC HOUSING AUTHORITY,Assistant Project Manager,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,62942,92249,Annual,Office for Exec Proj Manager
NYC HOUSING AUTHORITY,Assistant Project Manager,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,62942,92249,Annual,Office for Exec Proj Manager
